global_step,episode,episode_return,episode_length,epsilon,loss,eval_mean_return,wall_time_sec
8498,322,37.0,37,0.865448,0.06677475571632385,nan,7.111
8561,323,63.0,63,0.864451,0.3709213137626648,nan,7.17
8577,324,16.0,16,0.864197,0.8237376809120178,nan,7.183
8592,325,15.0,15,0.86396,0.6097297668457031,nan,7.195
8623,326,31.0,31,0.863469,0.5805546045303345,nan,7.222
8664,327,41.0,41,0.86282,0.9122755527496338,nan,7.253
8709,328,45.0,45,0.862108,0.5205075740814209,nan,7.292
8720,329,11.0,11,0.861933,0.04613861069083214,nan,7.3
8736,330,16.0,16,0.86168,0.07706320285797119,nan,7.312
8769,331,33.0,33,0.861158,0.8396693468093872,nan,7.346
8811,332,42.0,42,0.860492,0.30602145195007324,nan,7.383
8842,333,31.0,31,0.860002,0.7644057869911194,nan,7.412
8863,334,21.0,21,0.859669,0.5524801015853882,nan,7.429
8911,335,48.0,48,0.858909,0.12913110852241516,nan,7.481
8951,336,40.0,40,0.858276,0.3590446412563324,nan,7.521
8981,337,30.0,30,0.857801,0.4560832977294922,nan,7.546
9021,338,40.0,40,0.857167,0.5200830698013306,nan,7.577
9038,339,17.0,17,0.856898,0.33056458830833435,nan,7.59
9049,340,11.0,11,0.856724,0.3750635087490082,nan,7.6
9061,341,12.0,12,0.856534,0.661402702331543,nan,7.61
9113,342,52.0,52,0.855711,0.3498585820198059,nan,7.679
9122,343,9.0,9,0.855568,0.5499728918075562,nan,7.686
9136,344,14.0,14,0.855347,0.4937659204006195,nan,7.695
9151,345,15.0,15,0.855109,0.1619594544172287,nan,7.707
9185,346,34.0,34,0.854571,0.15396392345428467,nan,7.764
9194,347,9.0,9,0.854428,0.18466496467590332,nan,7.77
9209,348,15.0,15,0.854191,0.6217589378356934,nan,7.788
9245,349,36.0,36,0.853621,0.14061886072158813,nan,7.825
9270,350,25.0,25,0.853225,0.08903481066226959,nan,7.847
9297,351,27.0,27,0.852797,0.06731818616390228,nan,7.876
9357,352,60.0,60,0.851847,0.11139798164367676,nan,7.927
9376,353,19.0,19,0.851547,0.4630732834339142,nan,7.94
9398,354,22.0,22,0.851198,1.3694223165512085,nan,7.963
9427,355,29.0,29,0.850739,0.8265507221221924,nan,7.988
9444,356,17.0,17,0.85047,0.16093319654464722,nan,8.004
9477,357,33.0,33,0.849947,0.2833138108253479,nan,8.044
9495,358,18.0,18,0.849662,0.20493721961975098,nan,8.059
9545,359,50.0,50,0.848871,1.1726083755493164,nan,8.108
9557,360,12.0,12,0.848681,0.520426869392395,nan,8.118
9582,361,25.0,25,0.848285,1.3120156526565552,nan,8.149
9612,362,30.0,30,0.84781,0.3048414885997772,nan,8.177
9726,363,114.0,114,0.846005,0.481087327003479,nan,8.282
9758,364,32.0,32,0.845498,0.36431440711021423,nan,8.307
9786,365,28.0,28,0.845055,0.5244498252868652,nan,8.335
9836,366,50.0,50,0.844263,0.790795087814331,nan,8.397
9859,367,23.0,23,0.843899,1.2071303129196167,nan,8.425
9930,368,71.0,71,0.842775,0.8574889898300171,nan,8.5
9951,369,21.0,21,0.842442,0.2815365791320801,nan,8.524
9987,370,36.0,36,0.841873,0.6556421518325806,nan,8.559
10009,371,22.0,22,0.841524,0.9969439506530762,298.0,8.923
10074,372,65.0,65,0.840495,0.25619763135910034,298.0,8.983
10126,373,52.0,52,0.839672,0.3633902370929718,298.0,9.03
10137,374,11.0,11,0.839498,0.2413046658039093,298.0,9.04
10170,375,33.0,33,0.838975,0.6536575555801392,298.0,9.064
10191,376,21.0,21,0.838642,0.7457515597343445,298.0,9.086
10205,377,14.0,14,0.838421,0.606465756893158,298.0,9.099
10237,378,32.0,32,0.837914,0.3072105944156647,298.0,9.122
10341,379,104.0,104,0.836267,0.33436018228530884,298.0,9.222
10350,380,9.0,9,0.836125,0.9511002898216248,298.0,9.228
10369,381,19.0,19,0.835824,0.2486642301082611,298.0,9.25
10383,382,14.0,14,0.835603,1.2171032428741455,298.0,9.263
10404,383,21.0,21,0.83527,0.1762932986021042,298.0,9.281
10422,384,18.0,18,0.834985,0.9469563364982605,298.0,9.301
10439,385,17.0,17,0.834716,0.21066617965698242,298.0,9.313
10464,386,25.0,25,0.83432,1.9370660781860352,298.0,9.335
